Time,Speed(m/s),Angle(deg),OptimalAngle(deg),Dist(m),ReleaseHt(m)
373127,8,52,51.7741,4.6,1.8
373128,8,52,51.7741,4.6,1.8
373130,8,52,51.7741,4.6,1.8
373131,8,52,51.7741,4.6,1.8
373133,8,52,51.7741,4.6,1.8
373134,8,52,51.7741,4.6,1.8
373135,8,52,51.7741,4.6,1.8
373137,8,52,51.7741,4.6,1.8
373138,8,52,51.7741,4.6,1.8
373139,8,52,51.7741,4.6,1.8
373140,8,52,51.7741,4.6,1.8
373142,8,52,51.7741,4.6,1.8
373143,8,52,51.7741,4.6,1.8
373144,8,52,51.7741,4.6,1.8
373145,8,52,51.7741,4.6,1.8
373148,8,52,51.7741,4.6,1.8
373150,8,52,51.7741,4.6,1.8
373152,8,52,51.7741,4.6,1.8
373154,8,52,51.7741,4.6,1.8
373155,8,52,51.7741,4.6,1.8
373157,8,52,51.7741,4.6,1.8
373159,8,52,51.7741,4.6,1.8
373160,8,52,51.7741,4.6,1.8
373162,8,52,51.7741,4.6,1.8
373164,8,52,51.7741,4.6,1.8
373166,8,52,51.7741,4.6,1.8
373167,8,52,51.7741,4.6,1.8
373168,8,52,51.7741,4.6,1.8
373171,8,52,51.7741,4.6,1.8
373173,8,52,51.7741,4.6,1.8
373175,8,52,51.7741,4.6,1.8
373176,8,52,51.7741,4.6,1.8
373178,8,52,51.7741,4.6,1.8
373179,8,52,51.7741,4.6,1.8
373180,8,52,51.7741,4.6,1.8
373182,8,52,51.7741,4.6,1.8
373183,8,52,51.7741,4.6,1.8
373185,8,52,51.7741,4.6,1.8
373186,8,52,51.7741,4.6,1.8
373188,8,52,51.7741,4.6,1.8
373189,8,52,51.7741,4.6,1.8
373190,8,52,51.7741,4.6,1.8
373193,8,52,51.7741,4.6,1.8
373195,8,52,51.7741,4.6,1.8
373196,8,52,51.7741,4.6,1.8
373198,8,52,51.7741,4.6,1.8
373199,8,52,51.7741,4.6,1.8
373201,8,52,51.7741,4.6,1.8
373202,8,52,51.7741,4.6,1.8
373203,8,52,51.7741,4.6,1.8
373204,8,52,51.7741,4.6,1.8
373205,8,52,51.7741,4.6,1.8
373207,8,52,51.7741,4.6,1.8
373208,8,52,51.7741,4.6,1.8
373209,8,52,51.7741,4.6,1.8
373210,8,52,51.7741,4.6,1.8
373211,8,52,51.7741,4.6,1.8
373212,8,52,51.7741,4.6,1.8
373213,8,52,51.7741,4.6,1.8
373214,8,52,51.7741,4.6,1.8
373215,8,52,51.7741,4.6,1.8
373217,8,52,51.7741,4.6,1.8
373218,8,52,51.7741,4.6,1.8
373219,8,52,51.7741,4.6,1.8
373220,8,52,51.7741,4.6,1.8
373221,8,52,51.7741,4.6,1.8
373222,8,52,51.7741,4.6,1.8
373223,8,52,51.7741,4.6,1.8
373224,8,52,51.7741,4.6,1.8
373225,8,52,51.7741,4.6,1.8
373226,8,52,51.7741,4.6,1.8
373227,8,52,51.7741,4.6,1.8
373229,8,52,51.7741,4.6,1.8
373231,8,52,51.7741,4.6,1.8
Shot,Speed(m/s),Angle(deg),OptimalAngle(deg),Deviation(deg),Dist(m),ReleaseHt(m)
1,8,52,51.7741,0.225929,4.6,1.8
Shot,Speed(m/s),Angle(deg),OptimalAngle(deg),Deviation(deg),Quality,Dist(m),ReleaseHt(m)
1,5.15114,75,0,75,0,0,1.8
2,8.77977,75,35.531,39.469,0,3.87375,1.8
3,9.73474,75,31.5515,43.4485,0,3.87375,1.8
4,9.31557,75,32.8119,42.1881,0,3.87375,1.8
5,8.73867,75,37.6652,37.3348,0,3.87375,1.8
6,8.47382,75,39.4923,35.5077,0,3.87375,1.8
7,9.53972,75,45.1635,29.8365,0,6.75,1.8
8,9.53972,75,45.1635,29.8365,0,6.75,1.8
9,9.53972,75,45.1635,29.8365,0,6.75,1.8
10,9.53972,75,45.1635,29.8365,0,6.75,1.8
11,9.53972,75,45.1635,29.8365,0,6.75,1.8
12,9.53972,75,45.1635,29.8365,0,6.75,1.8
13,9.53972,75,45.1635,29.8365,0,6.75,1.8
14,9.53972,75,45.1635,29.8365,0,6.75,1.8
15,9.53972,75,45.1635,29.8365,0,6.75,1.8
16,9.53972,75,45.1635,29.8365,0,6.75,1.8
17,9.53972,75,45.1635,29.8365,0,6.75,1.8
18,9.53972,75,45.1635,29.8365,0,6.75,1.8
19,9.53972,75,45.1635,29.8365,0,6.75,1.8
20,9.53972,75,45.1635,29.8365,0,6.75,1.8
21,9.53972,75,45.1635,29.8365,0,6.75,1.8
22,9.53972,75,45.1635,29.8365,0,6.75,1.8
23,9.53972,75,45.1635,29.8365,0,6.75,1.8
24,9.53972,75,45.1635,29.8365,0,6.75,1.8
25,9.53972,75,45.1635,29.8365,0,6.75,1.8
26,9.53972,75,45.1635,29.8365,0,6.75,1.8
27,9.53972,75,45.1635,29.8365,0,6.75,1.8
